Inclusion Criteria:
  -  BMI >= 25 kg/m2
  -  Adults aged 50 - 80 years old
  -  Successful biochemical, haematological, [AND] urinalysis assessment at screening
Exclusion Criteria:
  -  Current smokers, [OR] ex-smokers ceasing < 6 months ago
  -  existing [OR] significant past medical history of vascular disease [OR] medical conditions likely to affect the study measures
  -  Fructose [OR] lactose intolerant subjects [OR] known allergies to intervention treatments
  -  Those unprepared to adhere to dietary instructions
  -  Parallel participation in another research project involving dietary intervention [AND] [OR] sampling of biological fluids/material
  -  Those on therapeutic diets [OR] having experienced substantial weight loss within 2 months of screening.
  -  Those taking flavonoid, nitrate / nitrite containing [OR] fish oil containing supplements ( [AND] unwilling to cease intake during, [AND] 1 month preceding the trial) [OR] unwilling to maintain existing intake of other supplements.
  -  Prescribed hypoglycaemic, anti-hypertensive, vasodilator [OR] hormone replacement therapy (HRT) medication.
  -  Unsatisfactory biochemical, haematological [OR] urinary results [OR] measurements considered to be counter indicative for the study
  -  Undiagnosed hypertension (elicited at screening; i.e. ≥ 180 / 110mmHg) at a level requiring immediate referral back to general practitioner for follow-up
