Inclusion Criteria:
  -  Patient [AND] has provided written informed consent.
  -  Patient [AND] is 18 years [OR] older.
  -  Patient [AND] is a planned recipient of a living donor kidney transplant.
  -  Patient [AND] is a planned recipient of an ABO blood group-compatible kidney graft.
  -  Patient [AND] is a planned recipient of a kidney graft from a donor [NOT] HLA (human leukocyte antigen)-identical.
  -  Patient [AND] is negative for DSA (donor-specific antibodies).
  -  WOCBP (women of child-bearing potential) [AND] must have a negative pregnancy test at inclusion.
  -  WOCBP [AND] must be using an adequate method of contraception to avoid pregnancy throughout the study [AND] for up to 12 weeks after the study in such a manner that the risk of pregnancy is minimized.
Exclusion Criteria:
  -  Patient [AND] is EBV (epstein barr virus)-negative on serology.
  -  Patient [AND] is HIV-positive [OR] suffering from chronic viral hepatitis.
  -  Patient [AND] is CMV (cytomegalo virus)-negative [AND] receiving a kidney from a CMV-positive donor.
  -  Positive T-cell lymphocytotoxic cross match.
  -  Patient [AND] with prior kidney transplant [OR] non-renal solid organ transplant.
  -  Patient [AND] has a known contraindication to any of the protocol-specified treatments.
  -  Patient [AND] had been diagnosed with a malignancy within 5 years prior to study entry, [NOT] excluding non-metastatic basal [OR] squamous cell carcinoma of the skin.
  -  Female patients [AND] who are breast-feeding.
  -  Female patients [AND] with a positive pregnancy test.
