<EDITED_CRITERIA>

Inclusion Criteria:
  -  Primipara [NOT] no previous pregnancies
  -  18 [AND] to 25 years of age
  -  Gestation [OR] <15 weeks at first prenatal visit
  -  No intention to move [OR] outside the city of Santiago in the next [OR] two years

Exclusion Criteria:
  -  Multipara
  -  Pre-existing cancer [NOT] except non-melanoma skin cancer
  -  Family history [OR] of breast cancer (one first-degree female relative diagnosed with breast cancer)
  -  High-risk pregnancy [AND] according to national guidelines
  -  During the follow-up, pregnant women [AND] under any treatment [OR] that may affect the levels of metabolic markers will be excluded from the analysis
  -  Pregnant women [AND] with pre-eclampsia [OR] or with preterm birth (less than 37 weeks of gestational age) will be also excluded
