Inclusion Criteria:
  -  Patients age: ≥ 22 years
  -  Patients presenting for routine colonoscopy for screening [OR] [AND] and/ [OR] or surveillance purposes.
  -  Willingness to undergo two withdrawals [AND] with [AND] and [NOT] without the use of computer-aided software while undergoing conventional colonoscopy [AND] with sedation
  -  Ability to provide written, [OR] informed consent [AND] and understand the responsibilities of trial participation
Exclusion Criteria:
  -  Minors aged < 22 years.
  -  People [AND] with diminished cognitive capacity
  -  Patients undergoing diagnostic colonoscopy (e.g. as an evaluation for active gastrointestinal bleed, [OR] referring collectively to the stomach [AND] and the small [AND] and large intestine).
  -  Patients [AND] with incomplete colonoscopies (those where endoscopists did [NOT] not successfully intubate the cecum due to technical difficulties [OR] or poor bowel preparation)
  -  Patients [AND] that have standard contraindications to colonoscopy in general (e.g. documented acute diverticulitis, [OR] fulminant colitis [AND] and known [OR] or suspected perforation).
  -  Patients [AND] with inflammatory bowel disease
  -  Patients [AND] with any polypoid/ [OR] ulcerated lesion > 2 cm concerning for invasive cancer on endoscopy
  -  Patients referred for endoscopic mucosal resection (EMR), [OR] which is a procedure to remove early-stage cancer [AND] and precancerous growths from the lining of the digestive tract.
