Inclusion Criteria:
  -  Patient requiring a first total knee prosthesis (scheduled between Tuesday [AND] and Friday).
  -  Patient [AND] that has given his/ [OR] her [NOT] free [AND] and informed consent [AND] and signed the consent form.
  -  The patient must be a member [OR] or beneficiary of a health insurance plan
  -  The patient is at least 18 years old (≥) [AND] and under 90 years old (<).
Exclusion Criteria:
  -  The subject is in a period of exclusion determined by a previous study (therapeutic study)
  -  The subject refuses to sign the consent
  -  It is [NOT] impossible to give the subject informed information
  -  The patient is under safeguard of justice [OR] or state guardianship
  -  The patient is pregnant [OR] or breastfeeding
  -  The patient is allergic to latex bandages.
  -  The subject has contralateral amputation, [OR] pressure ulcers, [OR] severe Obstructive Arteriopathy of Lower Limbs, [OR] lymphoedema [OR] or thromboembolic event of the lower limb (ipsilateral [AND] and / [OR] or contralateral / [OR] superficial [OR] or deep [OR] or detected by postoperative Doppler).
  -  The subject has chronic [OR] or active wounds [OR] or any cause [AND] that hinders normal rehabilitation [OR] or the application of a bandage.
  -  patient [AND] with a stroke / [OR] Disabling Neurological Pathology, [OR] Chronic Immunological Pathology / [OR] Systemic Disease.
  -  patient [AND] with Hepatic insufficiency.
  -  patient [AND] with Venous insufficiency (stages 3 [AND] and 4).
  -  The patient is on dialysis.
  -  The subject has cognitive [OR] or behavioral disorders (Parkinson's disease, [OR] cerebellar syndrome, [OR] opposition, [OR] agitation, [OR] dementia).
  -  The subject has a history of knee surgery.
