Inclusion Criteria:
  -  Diabetic pregnant patients [AND] with type one diabetes [AND] [NOT] no other chronic disorders
  -  Patients on insulin in the 3rd trimester of pregnancy [AND] on insulin therapy since start of gestation
  -  Patients pregnant in single living fetus [AND] [NOT] no apparent congenital anomalies
  -  Haemoglobin A 1 C (HbA1c) level between 7% to 11%
  -  All patients have done a dating ultrasound to confirm gestational age, viability [AND] rule out any abnormality
Exclusion Criteria:
  -  Patients with type 2 [OR] gestational diabetes
  -  Patients with intolerance [OR] hypersensitivity to metformin
  -  Patients with congestive heart failure [OR] a history of congestive heart failure
  -  Patients with renal insufficiency
  -  Patients [AND] having current significant gastrointestinal problems such as severe vomiting requiring intravenous fluids [OR] hospitalization
  -  Presence of acute [OR] chronic metabolic acidosis, including diabetic ketoacidosis, a history of diabetic ketoacidosis [OR] history of lactic acidosis
  -  Patients with liver impairment
  -  Patients with known higher order pregnancies (twins, triplets, etc.)
  -  Patients [AND] having a known potentially fetal lethal anomaly
