<EDITED_CRITERIA>

Inclusion Criteria:
  -  age [AND] ≥18 years
  -  BMI [AND] ≤40 kg/m2
  -  indication [AND] for hysterectomy [OR] for prophylactic surgery due to hereditary cancer
  -  indication [AND] for radical hysterectomy [AND] and/or pelvic-/[OR] para-aortic (sentinel-node) lymphadenectomy [OR] for cervical cancer
  -  indication [AND] for modified radical hysterectomy [AND] and/or pelvic-/[OR] para-aortic (sentinel-node) lymphadenectomy [OR] for endometrial cancer
  -  size [AND] of uterus [AND] and vagina [AND] allows for retrieval [OR] by the vaginal route [OR] in cancer patients
  -  written [AND] informed consent

Exclusion Criteria:
  -  known [AND] extensive [OR] intra-abdominal adhesions
  -  anaesthesiological [AND] contraindications [OR] to laparoscopy
  -  women [AND] with pacemaker [OR] or other implants [OR] where electrosurgery [AND] is to be avoided
  -  women [AND] with known [AND] defects [OR] of the hemostasis
  -  pregnancy
  -  other [AND] internal [OR] or anatomical [OR] criteria [AND] that preclude [OR] a minimal invasive approach
  -  inability [AND] to understand [OR] patient information
