Inclusion Criteria:
  -  •Both sexes will be included.
       -  Age (20-50)
       -  Patient [AND] with Fitzpatrick skin types III-IV
Exclusion Criteria:
  -  • Patients [WITH] known platelet dysfunction syndrome, critical thrombocytopenia (<50,000/ul), [OR] any hemodynamic instability.
       -  Patients [WITH] chronic medical illness (e.g. diabetes, chronic infections, [OR] blood dyscrasias).
       -  Patients [WITH] local inflammatory skin disorders [OR] active herpes infection at the site of the procedure.
       -  Patients [ON] consistent use of anti-coagulants [OR] non-steroidal anti-inflammatory drugs (NSAID) within 48 hours of procedure.
       -  Haemoglobin level< 10 g/dl [WERE] also [NOT] excluded.
       -  Patients [WITH] cancer- especially hematopoietic [OR] of bone.
       -  [NOT] Pregnant females.
       -  Patients [WITH] corticosteroids injection at treatment site within 1 month [OR] systemic use of corticosteroids within 2 weeks.
