Inclusion Criteria:
  -  Patient [AND] with a wifi connexion at home
  -  Patient [AND] with the ability to modulate the height of the candle by thinking in the alpha synchrony test.
  -  Patient [AND] with chronic low back pain for more than six months [AND] with a visual analogue pain scale greater than 5 impacting activities of daily living, hobbies [OR] work
  -  Patient [AND] having given [NOT]free [AND] informed consent [AND] signed consent.
  -  Affected patient [OR] beneficiary of a health insurance plan.
  -  Patient who is at least 18 years old (≥) [AND] younger than 75 years old (<).
Exclusion Criteria:
  -  [NOT]Pregnant [OR] breastfeeding patient
  -  Patient [AND] with a contraindication to performing a fMRI scan: ferromagnetic implant in the body, piercing, claustrophobia, [NOT]unable to remain in the scanner stationary for 40 minutes
  -  Patient already included in another study
  -  Patient in a [NOT]exclusion period determined by a previous study
  -  The subject is under the protection of justice, guardianship [OR] curatorship.
  -  The subject refuses to sign the consent.
  -  It is [NOT]possible to give the subject informed information.
