Inclusion Criteria:
  -  Phenylketonuric patient [AND] diagnosed in neonatal screening
  -  Patient [WITH] Phenylalaninemia ≥ 900μmol / L on blotter made during the screening period [OR] (average blotting results ≥900 μmol / L [IF] several blots made during the screening period)
  -  Untreated patient: [NOT] taking any amino acid supplement for his PKU, regardless of diet
Exclusion Criteria:
  -  Protected patient: court bail, curatorship, guardianship
  -  Patient [WITH] concomitant diseases / conditions [THAT] may compromise the study, at the discretion of the investigator
  -  Participated in a clinical trial [OR] trial to evaluate PKU foods [OR] treatments in the last 7 days prior to inclusion [OR] planned during the next 6 months
  -  Participation in an interventional study [WITH] health products during the next 6 months
  -  Pregnancy project within 6 months, pre-conception diet, pregnancy [OR] breastfeeding
  -  Refusal to consume only validated complements for the protocol
  -  Phenylketonuria undergoing treatment [WITH] BH4
  -  Allergy to the product under study
