<EDITED_CRITERIA>
Inclusion Criteria:
  -  Being older than 18 [AND] 
  -  have a diagnosis of HIV [AND] 
  -  present at least one of the following symptoms during the preceding two weeks: sleep problems [OR] fatigue [OR] pain [OR] anxiety [OR] symptoms of depression [AND] 
  -  understand and speak French [AND] 
  -  be able to follow the instructions to learn the relaxation technique [AND] 

Exclusion Criteria:
  -  Those [NOT] reporting any chronic or acute diseases [OR] food allergies [OR] smoking [OR] alcohol abuse [AND] 
  -  Use of illicit drugs [OR] regular consumption of medications [OR] micronutrient supplements [OR] both [AND] 
  -  Vegetarians [OR] those unable to eat meat [AND] 
  -  Unable to refrain from taking medications during the study period [AND]
