Inclusion Criteria:
  -  Diagnosis of periodontitis (stages III [OR] IV) that may require periodontal surgery
  -  Have at least 10 teeth in function, [NOT]excluding third molars.
  -  Present locations [WITH] probing depth (PS)> 6 mm in at least 30% of the teeth.
  -  Present radiographic evidence of moderate-severe bone loss in at least 30% of the dentition.
  -  Detection of P. gingivalis in subgingival samples taken at the screening visit [AND] in the post-scaling [AND] root planning visit [AND] processed by culture.
  -  Systemically healthy patients.
Exclusion Criteria:
  -  Pregnant [OR] lactating women.
  -  Presenting systemic pathology [AND] / [OR] taking medication that may affect the periodontal situation [AND] / [OR] patients requiring antibiotic prophylaxis.
  -  Have received systemic antimicrobial treatment in the previous 6 months.
  -  Have received periodontal treatment in the 6 months prior to the beginning of the study.
  -  Patients allergic to metronidazole, [OR] to any of the components of commercial formulations thereof (Flagyl®).
  -  Patients allergic to azithromycin, [OR] to any of the components of commercial formulations thereof (Zithromax®).
  -  Patients who refuse to sign the informed consent.
