Inclusion Criteria:
  -  Patients suffering from chronic pain due to tennis elbow for at least 3 months
  -  [AND] a clinical diagnosis of chronic lateral epicondylalgia,
  -  Pain associated with functional activities such as gripping [AND] pain with resisted contraction of the wrist extensors [OR] extensor carpi radialis brevis, [OR] with passive stretching of the wrist extensors.
Exclusion Criteria:
  -  Clinical diagnosis of chronic lateral epicondylalgia on both sides, cervicothoracic spinal pathology, other upper limb musculoskeletal disorders [OR] neurological disorders
  -  Pregnancy
  -  Drug addiction defined as the use of cannabis, opioids [OR] other drugs
  -  Previous [OR] current neurologic, musculoskeletal [OR] mental illnesses defined as an on-going systemic condition
  -  [NOT]Ability to cooperate
  -  Current use of medications that may affect the trial e.g. analgesics, anti- inflammatory drugs
  -  Consumption of alcohol, caffeine, nicotine [OR] painkillers throughout the study period
  -  Past history of chronic pain, neurological [OR] psychiatric conditions
  -  Participation in other pain trials throughout the study period [AND] one month prior to participation
  -  Participation in more than two sessions of muscle training exercises per week involving the upper limb [AND]/[OR] lower back
  -  Evidence of other sources of elbow pain such as exacerbation of pain with neck movement [OR] manual examination
  -  Sensory disturbances
  -  History of fractures
  -  Elbow surgery
  -  Contraindications to the use of TMS
