Inclusion Criteria:
  -  [AND] Has a 2-year history of seasonal allergic rhinitis
  -  [AND] Has a positive skin test response to a local seasonal allergen (current, [OR] performed in investigator's office within the past year)
  -  [AND] Is in good health [AND] [NOT] free of any unstable, clinically-significant disease, other than allergic rhinitis, that would interfere with the study schedule [OR] evaluation of seasonal allergic rhinitis
Exclusion Criteria:
  -  [NOT] Women who are pregnant [OR] breastfeeding
  -  [NOT] Women of childbearing potential who are [NOT] using an acceptable form of birth control
  -  [AND] Has asthma that requires therapy with inhaled [OR] systemic corticosteroids, cromolyn, [OR] nedocromil
  -  [AND] Has significant renal, hepatic, neurologic, cardiovascular, hematologic, metabolic, cerebrovascular, respiratory, gastrointestinal, [OR] other significant medical illness [OR] disorder which, in the judgment of the investigator, could interfere with the study, [OR] required treatment which might interfere with the study
  -  [AND] Is on immunotherapy with the exception of maintenance therapy
  -  [AND] Has a clinically significant upper respiratory [OR] sinus infection
  -  [AND] Has used an investigational drug within the previous 30 days
  -  [AND] Has nasal structural abnormalities, including large nasal polyps [AND] marked septal deviation, that significantly interfere with nasal air flow
  -  [AND] Has a history of multiple drug allergies [OR] an allergy to antihistamines [OR] corticoids
  -  [AND] Has dependence upon nasal, oral [OR] ocular decongestants, [OR] nasal topical antihistamines, in the opinion of the investigator
  -  [AND] Has rhinitis medicamentosa
  -  [AND] Is using of any chronic medication which could affect the course of seasonal allergic rhinitis
