Inclusion Criteria:
  -  [AND] the participant is 6 to 15 years of age during inclusion
  -  [AND] the participant is diagnosed as cerebral palsy by a specialist
  -  [AND] the participant's Cobb angle is between 10-40 degrees. [OR] (Cobb angle above 40 degrees [AND] [NOT] patients whose parents have accepted the operation)
  -  [AND] [NOT] There is a history of operation due to scoliosis [OR] the decision of the operation has [NOT] been accepted by the patients [AND] their parents
  -  [AND] the participant is Gross Motor Function Classification System Level 4 [OR] 5
  -  [AND] [NOT] Lack of contracture to prevent sitting in the lower extremity
  -  [AND] Parents agree to participate in the intensive therapy program [AND] stop the therapeutic interventions for scoliosis [AND] lower extremities during the 3-month follow-up period
Exclusion Criteria:
  -  [NOT] Having a history of operation due to scoliosis
  -  [AND] The deformity in the spine is rigid
  -  [OR] If the curvature measured in the spine is less than 10 degrees [OR] more than 40 degrees in the patients whose operation decision is accepted by the family
  -  [AND] [NOT] Having a seating modification applied at least 1 year before being included in the study
  -  [AND] [NOT] Having a spasticity [AND] contracture to prevent sitting in the hip [AND] knee joint
  -  [AND] [NOT] Having a pressure ulcer to prevent the patient from sitting
  -  [AND] the participant has comorbidity that is [NOT] related about cerebral palsy
  -  [AND] [NOT] Having epileptic seizures [NOT] controlled
  -  [AND] [NOT] Having bone operations for hip joints
