<EDITED_CRITERIA>

Inclusion Criteria:
  -  Histologically [OR] cytologically confirmed non-small cell lung cancer.
  -  The ECOG score of performance status is [AND] 0-1.
  -  Locally advanced [OR] recurrent metastatic NSCLC that has never received systemic treatment.
  -  According to RECIST1.1 criteria, there is at least 1 measurable lesion that has not been previously irradiated [AND] has not been previously irradiated.
  -  Prior to enrollment, a central laboratory testing report has confirmed that the tumor has one of two common EGFR mutations positive that are sensitive to EGFR-TKI therapy, accompanied with [OR] not accompanied with other EGFR mutation, with the exception of exon 20 insertion.

Exclusion Criteria:
  -  Previously received systemic treatment for locally advanced [OR] recurrent metastatic cancer.
  -  Primary T790M mutation-positive patient [NOT] allowed.
  -  Previous interstitial lung disease, drug-induced interstitial lung disease, radiation pneumonia requiring hormonal therapy, or any clinically proven active interstitial lung disease [NOT] allowed.
  -  Known active infections such as hepatitis B, hepatitis C, and human immunodeficiency virus [NOT] allowed.
  -  Local radiation therapy is carried out within 1 week [OR] more than 30% bone marrow radiation therapy or extensive radiation therapy is performed within 4 weeks [NOT] allowed.
  -  ≤ 4 weeks from major surgery [OR] ≤ 2 weeks from minor surgery [NOT] allowed.
