<EDITED_CRITERIA>
Inclusion Criteria:
 - Adults [AND] determined to be candidates for venous sinus stenting
Exclusion Criteria:
 - Patients who have a history of [NOT] having a venous sinus stent placed previously
 - Patients who have a [NOT] significant stenosis or occlusion of the venous sinus
 - Patients who have a [NOT] significant stenosis or occlusion of the jugular or sigmoid sinus
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
 - Patients who have a [NOT] significant stenosis or occlusion of the dural venous sinuses
 - Patients who have a [NOT] significant stenosis or occlusion of the cerebral venous system
