<EDITED_CRITERIA>
 Inclusion Criteria:
  -  Patient requiring a first total knee prosthesis (scheduled between Tuesday [OR] Friday).
  -  Patient [AND] that has given his/her [NOT] free [AND] informed consent [AND] signed the consent form.
  -  The patient must be a member [OR] beneficiary [OR] a health insurance plan
  -  The patient is at least 18 years old (≥) [AND] under 90 years old (<).
Exclusion Criteria:
  -  The subject is in a period [OR] exclusion determined by a previous study (therapeutic study)
  -  The subject refuses to sign the consent
  -  It is [NOT] impossible to give the subject informed information
  -  The patient is under safeguard [OR] justice [OR] state guardianship
  -  The patient is pregnant [OR] breastfeeding
  -  The patient is allergic [OR] latex bandages.
  -  The subject has contralateral amputation [OR] pressure ulcers [OR] severe Obstructive Arteriopathy [OR] Lower Limbs [OR] lymphoedema [OR] thromboembolic event [OR] the lower limb (ipsilateral [AND] / [OR] contralateral [OR] superficial [OR] deep [OR] detected by postoperative Doppler).
  -  The subject has chronic [OR] active wounds [OR] any cause [AND] that hinders normal rehabilitation [OR] the application [OR] a bandage.
  -  patient [AND] with a stroke [OR] Disabling Neurological Pathology [OR] Chronic Immunological Pathology [OR] Systemic Disease.
  -  patient [AND] with Hepatic insufficiency.
  -  patient [AND] with Venous insufficiency (stages 3 [OR] 4).
  -  The patient is [AND] on dialysis.
  -  The subject has cognitive [OR] behavioral disorders (Parkinson's disease [OR] cerebellar syndrome [OR] opposition [OR] agitation [OR] dementia).
  -  The subject has a history [OR] knee surgery.
</EDITED_CRITERIA>
