<EDITED_CRITERIA>

Inclusion Criteria:
  - Adults [AND] determined to be candidates for venous sinus stenting

Exclusion Criteria:
  - Patients with a history of bleeding disorders or taking anticoagulant therapy
  - Patients with a history of stroke or transient ischemic attack (TIA) within the past 3 months
  - Patients with a history of intracranial hemorrhage
  - Patients with a history of arteriovenous malformation (AVM) or dural arteriovenous fistula (DAVF)
  - Patients with a history of cerebral vasospasm
  - Patients with a history of subarachnoid hemorrhage
  - Patients with a history of cerebral edema
  - Patients with a history of meningitis
  - Patients with a history of encephalitis
  - Patients with a history of seizures
  - Patients with a history of cerebral neoplasm
  - Patients with a history of cerebral trauma
  - Patients with a history of cerebral vasculitis
  - Patients with a history of cerebral amyloid angiopathy
  - Patients with a history of cerebral microbleeds
  - Patients with a history of cerebral cortical atrophy
  - Patients with a history of cerebral white matter disease
  - Patients with a history of cerebral gray matter disease
  - Patients with a history of cerebral brainstem disease
  - Patients with a history of cerebral cerebellar disease
  - Patients with a history of cerebral spinal cord disease
  - Patients with a history of cerebral peripheral nervous system disease
  - Patients with a history of cerebral autonomic nervous system disease
  - Patients with a history of cerebral sensory nervous system disease
  - Patients with a history of cerebral motor nervous system disease
  - Patients with a history of cerebral cognitive impairment
  - Patients with a history of cerebral behavioral impairment
  - Patients with a history of cerebral emotional impairment
  - Patients with a history of cerebral sleep impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral fatigue impairment
  - Patients with a history of cerebral weakness impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
  - Patients with a history of cerebral cold impairment
  - Patients with a history of cerebral heat impairment
  - Patients with a history of cerebral itching impairment
  - Patients with a history of cerebral pruritus impairment
  - Patients with a history of cerebral pain impairment
  - Patients with a history of cerebral numbness impairment
  - Patients with a history of cerebral tingling impairment
  - Patients with a history of cerebral burning impairment
 
