<EDITED_CRITERIA>

Inclusion Criteria:
  -  Being older than 18 [AND] 
  -  have a diagnosis of HIV [AND] 
  -  present at least one of the following symptoms during the preceding two weeks: [OR] sleep problems, [OR] fatigue, [OR] pain, [OR] anxiety, [OR] symptoms of depression [AND] 
  -  understand and speak French [AND] 
  -  be able to follow the instructions to learn the relaxation technique [AND] 

Exclusion Criteria:
  -  Those reporting any chronic or acute diseases, [OR] food allergies, [OR] smoking, [OR] alcohol abuse [AND] 
  -  Use of illicit drugs; regular consumption of medications, micronutrient supplements, [OR] both [AND] 
  -  Vegetarians, [OR] those unable to eat meat, are also excluded since the foods for the study contain meat [AND] 
  -  Unable to refrain from taking medications during the study period [AND]
