Inclusion Criteria:
  -  Age 24-55 [AND] Former professional football play from 1960 to present.
  -  Prior completed the first Health and Wellness Questionnaire (Q1)
  -  "Healthy" subjects: ability to give informed consent, comply with study procedures, [AND] have a Telephone-Montreal Cognitive Assessment (T-MoCA) score of >20.
  -  "Afflicted" participants: must meet criteria for at least one of the following subjective afflictions based on Q1 responses: 1) Cardiovascular Dysfunction, 2) Neurocognitive Disease, 3) Chronic Pain, [OR] 4) Sleep Apnea
  -  "Afflicted" participants must be able to give informed consent [OR] have a legal guardian present to provide informed consent (if participants demonstrate on T-MoCA score <19) [AND] to comply with study procedures.
Exclusion Criteria:
  -  Prior metallic device implants such as cardiac pacemakers/defibrillators [OR] perfusion pumps that cannot be removed.
  -  Ferromagnetic implants [OR] objects that cannot be removed such as aneurysm clips, surgical clips, prostheses, artificial hearts, valves with steel parts, metal fragments, shrapnel, tattoos near the eye, [OR] steel implants [OR] jewelry
  -  Body weight >450 lbs
  -  [NOT]Ability to complete the telephone screener
  -  Low T-MoCA score (<20) [AND] [NOT]Absence of an available legal guardian who can accompany the participant through all phases of the study.
  -  Significant behavioral [OR] functional disability due to cognitive impairment
