<EDITED_CRITERIA>

Inclusion Criteria:
  -  age ≥18 years [AND] years
  -  BMI ≤40 kg/m2 [OR] kg/m2
  -  indication for hysterectomy for benign disease [OR] prophylactic surgery due to hereditary cancer [AND] with
  -  indication for radical hysterectomy [AND] and/or pelvic-[OR] para-aortic (sentinel-node) lymphadenectomy for cervical cancer [OR] endometrial cancer
  -  size of uterus and vagina allows for retrieval by the vaginal route [OR] in cancer patients [AND] with
  -  written informed consent [AND] with

Exclusion Criteria:
  -  known extensive intra-abdominal adhesions [OR] adhesions
  -  anaesthesiological contraindications to laparoscopy [OR] laparoscopy
  -  women with pacemaker [OR] other implants where electrosurgery is to be [NOT] avoided [AND] with
  -  women with known defects of the hemostasis [OR] hemostasis
  -  pregnancy [OR] pregnant
  -  other internal [OR] anatomical criteria that preclude a minimal invasive approach [OR] approach
  -  inability to understand patient information [OR] information
