Here is the revised eligibility criteria with the logical operators [AND], [OR], [NOT] inserted:

Inclusion Criteria:
  -  145 mmHg ≤ msSBP ≤ 190 mmHg
  -  Triglycerides < 500 mg/dL
  -  LDL-C ≤ 250 mg/dL

Exclusion Criteria:
  -  (sSBP ≥ 20mmHg) AND (sDBP ≥ 10mmHg)
  -  (symptomatic orthostatic hypotension) AND (secondary/iatrogenic hypertension) AND (dyslipidemia)
  -  (history of moderate to severe cerebral ischemia) OR (cerebral hemorrhage) OR (transient ischemic attack) OR (myocardial infarction) OR (unstable angina) in the past 6 months; (severe heart failure) AND (New York Heart Association functional class III and IV)
  -  (hypersensitivity to telmisartan) OR (hypersensitivity to rosuvastatin)
  -  (history of angioedema after treatment with angiotensin-converting enzyme inhibitors) OR (history of angioedema after treatment with ARBs); (creatinine phosphokinase levels ≥3 times the upper limit of normal)
  -  (estimated glomerular filtration rate ≤30 mL/min) OR (aspartate aminotransferase levels ≥3 times the upper limit of normal) OR (alanine aminotransferase levels ≥3 times the upper limit of normal)
  -  (potassium levels >5.5 mmol/L) OR (any diseases that could affect the results of the study)
