<EDITED_CRITERIA>

Inclusion Criteria:
  -  BMI: 18-30 kg/m2 [AND] Body Mass Index [BMI] [kg/m2] = Body weight [kg] Height2 [m2]
  -  Ability [AND] willingness to [NOT] abstain from alcohol, methylxanthine-containing beverages or food (coffee, tea, cola, chocolate, "powerdrinks"), grapefruit (juice) from 48 h prior to entry in the clinical research center until discharge
  -  Medical history [NOT] with major pathology

Exclusion Criteria:
  -  Evidence [OR] clinically relevant pathology
  -  Mental [OR] handicap
  -  History of [NOT] relevant drug and/or food allergies
  -  Regular/routine treatment with non-topical medications [OR] within 30 days prior to entry into the clinical research center
  -  Smoking [OR] within 60 days prior to drug administration and through the follow-up visit
  -  History of [NOT] alcohol abuse [OR] drug addiction (including soft drugs like cannabis products)
