<EDITED_CRITERIA>

Inclusion Criteria:
  - Receiving HHD or ICHDF for more than 3 months [AND] less than 36 months [OR] more.
  - Haemoglobin [AND] equal to or greater than 100 g/L [AND] at enrolment [OR] prior to enrolment.
  - Willing [AND] and physically able to undertake the study assessments/tests [AND] with [OR] without assistance.
  - Willing to provide blood for storage [AND] and future analysis [OR] only for storage.
  - Able to give informed consent [AND] without coercion [OR] duress.

Exclusion Criteria:
  - Living donor transplant [OR] change to peritoneal dialysis planned [OR] already undergone.
  - Physical assessments contraindicated for the following clinical reasons:
    - Acute Coronary Syndrome (ACS) within the last 3 months [AND] with [OR] without symptoms (chest pain, ECG changes [OR] or typical biomarker elevation).
    - Any current uncontrolled cardiac dysrhythmias causing symptoms [AND] with [OR] without symptoms (chest pain, palpitations, syncope [OR] or dizziness).
    - Symptomatic aortic stenosis [AND] with [OR] without symptoms (chest pain, shortness of breath, fatigue).
    - New York Heart Association grade IV Heart failure [AND] with [OR] without symptoms (shortness of breath, fatigue, swelling).
    - Severe chronic obstructive pulmonary disease [AND] with [OR] without symptoms (shortness of breath, wheezing, cough).
    - Acute pulmonary embolus or pulmonary infarction in the last 3 months [AND] with [OR] without symptoms (chest pain, shortness of breath, cough).
    - Current acute myocarditis or pericarditis [AND] with [OR] without symptoms (chest pain, shortness of breath, fever).
    - Suspected or known dissecting aneurysm [AND] with [OR] without symptoms (chest pain, shortness of breath, fever).
    - Acute systemic infection, accompanied by fever, body aches [OR] or swollen lymph glands.
  - Pregnancy [AND] with [OR] without symptoms (nausea, vomiting, fatigue).
  - Life expectancy of less than twelve months [AND] with [OR] without symptoms (shortness of breath, fatigue, loss of appetite).
