Inclusion Criteria:
  -  Adult [AND] pediatric acute care patients at participating facility
  -  Newly identified as needing in-patient nutrition care through current facility policy
  -  Receive initial nutrition care one day before study enrollment day
  -  Patient is over one month of age, including infants, children, teenagers [AND] adult patients who are intubated [OR] sedated
  -  Patient, parent, legal guardian [OR] legally authorized representative provide informed consent; children 7 [AND] older provide assent
  -  Patient [AND] / [OR] parent, legal guardian [OR] legally authorized representative are fluent in English [OR] Spanish
Exclusion Criteria:
  -  Received nutrition care previously during current admission
  -  Pregnant women
  -  Prisoners
  -  Infants currently in the neonatal intensive care unit (NICU) with a diagnosis of prematurity
  -  Neonates of uncertain viability [OR] [NOT] viable neonates
  -  Patients receiving palliative/[OR]hospice care
  -  Patient admitted for long-term acute care (LTAC)
