<EDITED_CRITERIA>

Inclusion Criteria:
  -  Men [OR] women of any race [OR] ethnicity aged 18 [OR] older
  -  [NOT] symptoms of ALS [OR] fronto-temporal dementia at enrollment
  -  Have a first degree relative who had an ALS-spectrum diagnosis [AND] with a confirmed ALS-spectrum gene mutation; [OR] already have had genetic testing [AND] have tested positive for an ALS-spectrum gene mutation.
  -  [AND] willing to undergo genetic testing with option of whether [OR] not to learn results
  -  [AND] willing to travel to Columbia University Irving Medical Center (CUIMC) every 6-24 months for study procedures
  -  [AND] capable of providing informed consent [AND] following study procedures, [OR] has a legally authorized representative who is able to consent for the subject.

Exclusion Criteria:
  -  [NOT] known HIV
  -  [NOT] known hepatitis B
  -  [NOT] known hepatitis C
