<EDITED_CRITERIA>

Inclusion Criteria:
  -  Primipara [AND] (no previous pregnancies)
  -  18 [OR] to 25 years of age
  -  Gestation [AND] <15 weeks at first prenatal visit
  -  No [NOT] intention to move outside the city of Santiago in the next [OR] two years

Exclusion Criteria:
  -  Multipara
  -  Pre-existing [NOT] cancer (except [OR] non-melanoma skin cancer)
  -  Family history of breast [OR] cancer (one first-degree female relative diagnosed with breast cancer)
  -  High-risk [NOT] pregnancy according to national guidelines
  -  During the follow-up, pregnant women [AND] under any treatment that may affect the levels of metabolic markers will be [NOT] excluded from the analysis
  -  Pregnant women [AND] with pre-eclampsia [OR] with preterm birth (less than 37 weeks of gestational age) will be also [NOT] excluded
